Publisher,total_games,avg_positive_review_pct,avg_total_reviews
NekoNyan Ltd.,24,95.69,2681.0
Adamvision Studios,10,95.36,1271.0
"Mediascape Co., Ltd.",16,95.02,923.0
Teamey,19,94.49,123.0
Randumb Studios,18,94.48,1784.0
HIKARI FIELD,50,93.84,2032.0
GirlGames,11,93.08,1704.0
New Blood Interactive,12,92.84,19504.0
NVLMaker,17,92.75,2637.0
MangaGamer,42,92.61,922.0
Sigyaad Team,10,92.48,652.0
Wadjet Eye Games,15,92.37,1254.0
PsychoFlux Entertainment,16,91.96,388.0
Hosted Games,18,91.77,208.0
Frontwing USA,24,91.75,445.0
"PopCap Games, Inc.",19,91.75,9577.0
Zachtronics,15,91.23,2048.0
Quiet River,24,91.07,2978.0
Coffee Stain Publishing,13,90.49,94258.0
Vaka Game Magazine,10,90.46,1051.0
Klei Entertainment,13,90.4,62424.0
Future Friends Games,15,90.39,1241.0
JAST,23,90.3,1184.0
2 Left Thumbs,12,90.26,1114.0
Valve,36,90.2,468076.0
Sekai Project,88,90.05,1640.0
NPC Entertainment,11,90.05,2909.0
